Accident_ID,Junction_ID,Junction_Name,City,State,Year,Accident_Severity,Fatalities,Injuries,Weather_Conditions,Road_Type,Vehicle_Types_Involved
ACC-200000,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2022,Fatal,1,4,Clear,Roundabout,Car & Truck
ACC-200001,JNC-MUM-003,Dadar TT Circle,Mumbai,Maharashtra,2022,Serious,0,3,Clear,Urban Intersection,Auto-rickshaw & Bus
ACC-200002,JNC-BLR-006,Goraguntepalya Junction,Bengaluru,Karnataka,2019,Fatal,1,0,Clear,Urban Intersection,Pedestrian & Motorcycle
ACC-200003,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2018,Serious,0,3,Clear,Flyover Exit,Auto-rickshaw & Bus
ACC-200004,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2023,Fatal,2,2,Clear,Flyover Exit,Motorcycle & Bus
ACC-200005,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2020,Minor,0,0,Clear,Flyover Exit,Motorcycle & Bus
ACC-200006,JNC-PNQ-007,Chandani Chowk Junction,Pune,Maharashtra,2019,Serious,0,2,Clear,Flyover Exit,Auto-rickshaw & Bus
ACC-200007,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2021,Serious,0,3,Clear,4-Lane Highway Merge,Auto-rickshaw & Bus
ACC-200008,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2021,Serious,0,2,Clear,Flyover Exit,Car & Car
ACC-200009,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2019,Minor,0,1,Clear,Flyover Exit,Car & Car
ACC-200010,JNC-HYD-005,Panjagutta Junction,Hyderabad,Telangana,2023,Fatal,1,4,Clear,Urban Intersection,Pedestrian & Motorcycle
ACC-200011,JNC-MUM-003,Dadar TT Circle,Mumbai,Maharashtra,2018,Serious,0,1,Clear,Roundabout,Pedestrian & Motorcycle
ACC-200012,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2018,Minor,0,1,Clear,Roundabout,Car & Truck
ACC-200013,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2020,Minor,0,0,Clear,Roundabout,Motorcycle & Car
ACC-200014,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2018,Serious,0,2,Clear,Roundabout,Car & Car
ACC-200015,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2020,Serious,0,2,Fog / Mist,4-Lane Highway Merge,Car & Truck
ACC-200016,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2023,Minor,0,0,Heavy Rain,Roundabout,Car & Car
ACC-200017,JNC-MUM-003,Dadar TT Circle,Mumbai,Maharashtra,2018,Minor,0,1,Clear,4-Lane Highway Merge,Car & Truck
ACC-200018,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2018,Serious,0,2,Clear,Roundabout,Pedestrian & Motorcycle
ACC-200019,JNC-MUM-003,Dadar TT Circle,Mumbai,Maharashtra,2022,Serious,0,3,Clear,Urban Intersection,Auto-rickshaw & Bus
ACC-200020,JNC-BLR-006,Goraguntepalya Junction,Bengaluru,Karnataka,2022,Serious,0,1,Fog / Mist,Flyover Exit,Auto-rickshaw & Bus
ACC-200021,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2023,Minor,0,1,Fog / Mist,Flyover Exit,Motorcycle & Bus
ACC-200022,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2018,Serious,0,3,Clear,Flyover Exit,Pedestrian & Motorcycle
ACC-200023,JNC-BLR-006,Goraguntepalya Junction,Bengaluru,Karnataka,2023,Serious,0,1,Clear,4-Lane Highway Merge,Car & Truck
ACC-200024,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2020,Serious,0,1,Clear,Urban Intersection,Motorcycle & Bus
ACC-200025,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2021,Serious,0,2,Heavy Rain,4-Lane Highway Merge,Motorcycle & Bus
ACC-200026,JNC-PNQ-007,Chandani Chowk Junction,Pune,Maharashtra,2020,Serious,0,2,Clear,Roundabout,Pedestrian & Motorcycle
ACC-200027,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2018,Serious,0,2,Clear,Urban Intersection,Car & Car
ACC-200028,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2021,Fatal,3,0,Heavy Rain,Flyover Exit,Pedestrian & Motorcycle
ACC-200029,JNC-MAA-004,Kathipara Junction,Chennai,Tamil Nadu,2023,Serious,0,3,Clear,4-Lane Highway Merge,Motorcycle & Bus
ACC-200030,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2023,Minor,0,0,Heavy Rain,Roundabout,Auto-rickshaw & Bus
ACC-200031,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2020,Minor,0,1,Heavy Rain,Flyover Exit,Motorcycle & Bus
ACC-200032,JNC-MAA-004,Kathipara Junction,Chennai,Tamil Nadu,2019,Minor,0,0,Clear,4-Lane Highway Merge,Motorcycle & Car
ACC-200033,JNC-BLR-006,Goraguntepalya Junction,Bengaluru,Karnataka,2023,Minor,0,0,Heavy Rain,Urban Intersection,Motorcycle & Bus
ACC-200034,JNC-MUM-003,Dadar TT Circle,Mumbai,Maharashtra,2018,Serious,0,2,Fog / Mist,4-Lane Highway Merge,Car & Truck
ACC-200035,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2018,Serious,0,3,Fog / Mist,Urban Intersection,Motorcycle & Bus
ACC-200036,JNC-MAA-004,Kathipara Junction,Chennai,Tamil Nadu,2020,Minor,0,1,Fog / Mist,Flyover Exit,Car & Car
ACC-200037,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2023,Minor,0,0,Clear,Flyover Exit,Car & Car
ACC-200038,JNC-MUM-003,Dadar TT Circle,Mumbai,Maharashtra,2023,Serious,0,1,Clear,4-Lane Highway Merge,Auto-rickshaw & Bus
ACC-200039,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2022,Fatal,3,2,Heavy Rain,4-Lane Highway Merge,Auto-rickshaw & Bus
ACC-200040,JNC-MUM-003,Dadar TT Circle,Mumbai,Maharashtra,2023,Serious,0,2,Heavy Rain,Urban Intersection,Pedestrian & Motorcycle
ACC-200041,JNC-MUM-003,Dadar TT Circle,Mumbai,Maharashtra,2020,Serious,0,1,Clear,Flyover Exit,Motorcycle & Bus
ACC-200042,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2022,Serious,0,3,Heavy Rain,Flyover Exit,Motorcycle & Bus
ACC-200043,JNC-PNQ-007,Chandani Chowk Junction,Pune,Maharashtra,2023,Minor,0,0,Fog / Mist,Flyover Exit,Motorcycle & Bus
ACC-200044,JNC-PNQ-007,Chandani Chowk Junction,Pune,Maharashtra,2022,Serious,0,1,Heavy Rain,Flyover Exit,Motorcycle & Bus
ACC-200045,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2022,Serious,0,3,Clear,Roundabout,Motorcycle & Car
ACC-200046,JNC-MUM-003,Dadar TT Circle,Mumbai,Maharashtra,2023,Minor,0,1,Clear,Urban Intersection,Car & Car
ACC-200047,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2020,Serious,0,2,Heavy Rain,4-Lane Highway Merge,Motorcycle & Bus
ACC-200048,JNC-HYD-005,Panjagutta Junction,Hyderabad,Telangana,2022,Serious,0,2,Fog / Mist,4-Lane Highway Merge,Pedestrian & Motorcycle
ACC-200049,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2018,Serious,0,1,Clear,Urban Intersection,Car & Car
ACC-200050,JNC-BLR-006,Goraguntepalya Junction,Bengaluru,Karnataka,2021,Serious,0,3,Heavy Rain,Roundabout,Motorcycle & Bus
ACC-200051,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2023,Serious,0,2,Fog / Mist,4-Lane Highway Merge,Auto-rickshaw & Bus
ACC-200052,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2023,Serious,0,1,Clear,4-Lane Highway Merge,Auto-rickshaw & Bus
ACC-200053,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2022,Serious,0,2,Clear,Flyover Exit,Car & Car
ACC-200054,JNC-MUM-003,Dadar TT Circle,Mumbai,Maharashtra,2021,Fatal,2,3,Heavy Rain,Roundabout,Motorcycle & Bus
ACC-200055,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2020,Serious,0,3,Clear,Urban Intersection,Pedestrian & Motorcycle
ACC-200056,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2018,Minor,0,0,Clear,4-Lane Highway Merge,Motorcycle & Car
ACC-200057,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2023,Minor,0,1,Monsoon Pour,4-Lane Highway Merge,Pedestrian & Motorcycle
ACC-200058,JNC-HYD-005,Panjagutta Junction,Hyderabad,Telangana,2022,Serious,0,3,Clear,Urban Intersection,Car & Truck
ACC-200059,JNC-HYD-005,Panjagutta Junction,Hyderabad,Telangana,2018,Serious,0,1,Clear,Urban Intersection,Car & Car
ACC-200060,JNC-PNQ-007,Chandani Chowk Junction,Pune,Maharashtra,2022,Serious,0,2,Heavy Rain,4-Lane Highway Merge,Auto-rickshaw & Bus
ACC-200061,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2023,Serious,0,2,Heavy Rain,4-Lane Highway Merge,Auto-rickshaw & Bus
ACC-200062,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2019,Serious,0,2,Clear,Flyover Exit,Pedestrian & Motorcycle
ACC-200063,JNC-MAA-004,Kathipara Junction,Chennai,Tamil Nadu,2019,Fatal,3,3,Heavy Rain,Urban Intersection,Car & Truck
ACC-200064,JNC-MAA-004,Kathipara Junction,Chennai,Tamil Nadu,2018,Minor,0,0,Monsoon Pour,Roundabout,Motorcycle & Bus
ACC-200065,JNC-PNQ-007,Chandani Chowk Junction,Pune,Maharashtra,2019,Fatal,1,4,Clear,Urban Intersection,Motorcycle & Car
ACC-200066,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2019,Minor,0,0,Heavy Rain,4-Lane Highway Merge,Motorcycle & Car
ACC-200067,JNC-MAA-004,Kathipara Junction,Chennai,Tamil Nadu,2023,Minor,0,0,Clear,Urban Intersection,Pedestrian & Motorcycle
ACC-200068,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2020,Minor,0,1,Clear,4-Lane Highway Merge,Motorcycle & Bus
ACC-200069,JNC-MUM-003,Dadar TT Circle,Mumbai,Maharashtra,2022,Minor,0,1,Heavy Rain,Roundabout,Auto-rickshaw & Bus
ACC-200070,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2023,Serious,0,1,Heavy Rain,Roundabout,Motorcycle & Bus
ACC-200071,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2023,Minor,0,1,Clear,4-Lane Highway Merge,Car & Car
ACC-200072,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2020,Serious,0,1,Fog / Mist,Flyover Exit,Motorcycle & Bus
ACC-200073,JNC-DEL-002,ITO Crossing,New Delhi,Delhi,2023,Minor,0,1,Heavy Rain,Roundabout,Pedestrian & Motorcycle
ACC-200074,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2021,Serious,0,3,Clear,4-Lane Highway Merge,Motorcycle & Bus
ACC-200075,JNC-BLR-001,Silk Board Junction,Bengaluru,Karnataka,2022,Serious,0,3,Monsoon Pour,Urban Intersection,Pedestrian & Motorcycle
ACC-200076,JNC-HYD-005,Panjagutta Junction,Hyderabad,Telangana,2022,Serious,0,2,Monsoon Pour,4-Lane Highway Merge,Motorcycle & Car
ACC-200077,JNC-BLR-006,Goraguntepalya Junction,Bengaluru,Karnataka,2018,Fatal,3,4,Clear,4-Lane Highway Merge,Motorcycle & Car
ACC-200078,JNC-BLR-006,Goraguntepalya Junction,Bengaluru,Karnataka,2019,Fatal,1,2,Heavy Rain,4-Lane Highway Merge,Motorcycle & Bus
ACC-200079,JNC-BLR-006,Goraguntepalya Junction,Bengaluru,Karnataka,2018,Minor,0,0,Heavy Rain,Flyover Exit,Car & Car
