frame_index,timestamp_sec,car,motorcycle,bus,truck,pedestrian,total_vehicles,two_wheeler_share_pct,detection_count
0,0.0,0,0,0,0,0,0,0.0,0
12,0.48,0,0,0,0,0,0,0.0,0
24,0.96,0,0,0,0,0,0,0.0,0
36,1.44,0,0,0,0,0,0,0.0,0
48,1.92,0,0,0,0,0,0,0.0,0
60,2.4,0,0,0,0,0,0,0.0,0
72,2.88,0,0,0,0,0,0,0.0,0
84,3.36,0,0,0,0,0,0,0.0,0
96,3.84,0,0,0,0,0,0,0.0,0
108,4.32,0,0,0,0,0,0,0.0,0
120,4.8,0,0,0,0,0,0,0.0,0
132,5.28,0,0,0,0,0,0,0.0,0
144,5.76,0,0,0,0,0,0,0.0,0
156,6.24,0,0,0,0,0,0,0.0,0
168,6.72,0,0,0,0,0,0,0.0,0
180,7.2,0,0,0,0,0,0,0.0,0
192,7.68,0,0,0,0,0,0,0.0,0
204,8.16,0,0,0,0,0,0,0.0,0
216,8.64,0,0,0,0,0,0,0.0,0
228,9.12,12,0,2,0,0,14,0.0,14
240,9.6,9,0,2,0,0,11,0.0,11
252,10.08,9,0,1,0,0,10,0.0,10
264,10.56,11,0,1,0,0,12,0.0,12
276,11.04,9,0,1,1,0,11,0.0,11
288,11.52,11,0,1,0,0,12,0.0,12
300,12.0,7,0,1,0,0,8,0.0,8
312,12.48,10,0,1,0,0,11,0.0,11
324,12.96,10,0,0,0,0,10,0.0,10
336,13.44,12,0,0,1,0,13,0.0,13
348,13.92,12,0,0,0,0,12,0.0,12
360,14.4,15,0,0,2,2,17,0.0,19
372,14.88,11,0,0,0,0,11,0.0,11
384,15.36,12,0,0,0,0,12,0.0,12
396,15.84,16,0,0,1,0,17,0.0,17
408,16.32,23,0,0,0,0,23,0.0,23
420,16.8,22,0,0,0,0,22,0.0,22
432,17.28,29,0,0,0,0,29,0.0,29
444,17.76,22,0,1,0,0,23,0.0,23
456,18.24,15,0,2,0,0,17,0.0,17
468,18.72,14,0,1,1,0,16,0.0,16
480,19.2,12,0,2,1,0,15,0.0,15
492,19.68,10,0,2,0,0,12,0.0,12
504,20.16,16,0,3,1,0,20,0.0,20
516,20.64,12,0,3,3,0,18,0.0,18
528,21.12,16,0,2,2,0,20,0.0,20
540,21.6,16,0,2,0,1,18,0.0,19
552,22.08,16,0,1,0,1,17,0.0,18
564,22.56,15,0,0,2,0,17,0.0,17
576,23.04,18,0,1,1,0,20,0.0,20
588,23.52,15,0,1,0,0,16,0.0,16
600,24.0,22,0,0,0,0,22,0.0,22
612,24.48,17,0,0,0,0,17,0.0,17
624,24.96,20,0,1,1,0,22,0.0,22
636,25.44,16,0,1,1,0,18,0.0,18
648,25.92,13,0,0,0,0,13,0.0,13
660,26.4,11,0,0,0,0,11,0.0,11
672,26.88,19,0,0,0,0,19,0.0,19
684,27.36,20,0,0,0,0,20,0.0,20
696,27.84,20,0,0,0,0,20,0.0,20
708,28.32,0,0,0,0,2,0,0.0,2
720,28.8,0,0,0,0,6,0,0.0,6
732,29.28,0,0,0,0,5,0,0.0,5
744,29.76,0,0,0,0,4,0,0.0,4
756,30.24,0,0,0,0,3,0,0.0,3
768,30.72,0,0,0,0,9,0,0.0,9
780,31.2,1,1,0,0,7,2,50.0,9
792,31.68,0,0,0,0,5,0,0.0,5
804,32.16,0,0,0,0,5,0,0.0,5
816,32.64,0,1,0,0,8,1,100.0,9
828,33.12,0,0,0,0,5,0,0.0,5
840,33.6,0,0,0,0,2,0,0.0,2
852,34.08,0,0,0,0,5,0,0.0,5
864,34.56,0,0,0,0,6,0,0.0,6
876,35.04,0,0,0,0,1,0,0.0,1
888,35.52,0,0,0,0,7,0,0.0,7
900,36.0,0,0,0,0,3,0,0.0,3
912,36.48,0,0,0,0,4,0,0.0,4
924,36.96,0,0,0,0,5,0,0.0,5
936,37.44,1,0,0,0,4,1,0.0,5
948,37.92,0,0,0,0,3,0,0.0,3
960,38.4,0,0,0,0,9,0,0.0,9
972,38.88,0,0,0,0,6,0,0.0,6
984,39.36,0,0,0,0,9,0,0.0,9
996,39.84,0,0,0,0,7,0,0.0,7
1008,40.32,0,0,0,0,8,0,0.0,8
1020,40.8,0,0,0,0,4,0,0.0,4
1032,41.28,0,0,0,0,2,0,0.0,2
1044,41.76,1,0,0,0,6,1,0.0,7
1056,42.24,0,0,0,0,5,0,0.0,5
1068,42.72,0,0,0,0,4,0,0.0,4
1080,43.2,0,0,0,0,1,0,0.0,1
1092,43.68,1,0,0,0,2,1,0.0,3
1104,44.16,1,0,0,0,8,1,0.0,9
1116,44.64,0,0,0,0,5,0,0.0,5
1128,45.12,3,0,0,2,5,5,0.0,10
1140,45.6,3,0,2,0,2,5,0.0,7
1152,46.08,5,0,3,1,3,9,0.0,12
1164,46.56,2,0,2,2,5,6,0.0,11
1176,47.04,4,0,2,2,1,8,0.0,9
1188,47.52,5,0,1,2,2,8,0.0,10
